address,bookinglink,lat,lon,phonenumber,notes
"4335 Rosemead Blvd, Pico Rivera, CA 90660",https://live.ipms247.com/booking/book-rooms-epichotel,(562) 842-3055,31.337402,-91.87151,"Must be book through the link provided and discount will be given at check in time. Please call 562-842-3055. Speak to Jay for the fire discount confirmation after room is booked. Your credit card will not be charged till the time of check in, Jay will give special discount.",
"41150 Via Europa, Temecula CA 92591",Please call for discount,(951) 414.3807,10.298763,-85.838603,951.414.3807 - 50% Off all rooms,
"519 North Azusa Avenue, La Puente, CA 91744",,(626) 961-8829,47.218183,-1.551244,(626) 961-8829,
"41150 Via Europa, Temecula CA 92591",Please call for discount,(951) 414-3807,10.298763,-85.838603,951.414.3807 - 50% off all rooms,
2050 Marengo St. Los Angeles CA 90033,https://www.agahotels.com/erth-inn-los-angeles/,(323) 223-2080,33.762047,-118.263235,,
"2761 Firestone Blvd, South Gate CA 90280",Walk ins or expedia,(805) 807-5533,8.26667,36.9,Phone call or walk in,
"137 E 1st Street, Azusa California 91702",,(626) 969-7957,47.218183,-1.551244,,
Temecula Valley Wine Country,Temecula Vacation Rentals,(833) 442-8268,33.493397,-117.1488,code: TEMECULA15 (15% Off),
"107 W Juniper St, Inglewood, CA 90302",,(310) 674-8821,47.218183,-1.551244,310-674-8821,
"7615 Sepulveda Blvd, Van Nuys,CA",,(818) 994-8547,47.218183,-1.551244,818-994-8547,
"10100 S Inglewood Ave, Inglewood, CA",,(310) 259-1154 text only please,47.218183,-1.551244,310-259-1154 text only,
"4335 Rosemead Blvd., Pico Rivera, CA 90660",https://live.ipms247.com/booking/book-rooms-epichotel,562-842-3055,31.337402,-91.87151,"once booked using the link, call hotel or goto hotel, you will be discounted at the time of check-in, your credit card will not be charged till you show up at Epic Hotel Pico Rivera. Ask for Jay. We have special discounts for Angelinos Displaced by Fire.",
888 Montebello Blvd. Montebello Ca 91770,Direct inquires to luz.ortega@hilton.com,(323) 722-8800,11.446452,-2.221086,L-INR,
"3525 Torrance Blvd, Torrance, CA 90503",(310) 540-5442,(310) 540-5442,40.710253,-82.536769,Contact AB Quintana - Text 980-345-1964 for bookings,
"404 S Figueroa St, Los Angeles CA 90071",https://www.marriott.com/laxbw,213-624-1000,57.766903,15.732015,https://www.marriott.com/event-reservations/reservation-link.mi?id=1736350533572&key=CORP&guestreslink2=true&app=resvlink,
"2130 E Maple Ave, El Segundo, CA 90245",www.marriott.com/laxae,310-322-3333,43.21682,-9.004804,please reach out to jasmin.schubert@marriott.com,
"45000 Pechanga Pkwy, Temecula CA 92592",https://www.pechanga.com/stay,1-888-732-4264,44.797207,-122.79226,Call to book 20% discount - 1-888-732-4264,
39325 Trade Center Dr Palmdale Ca 93551,marriott.com/wjfel,(661) 224-1200,52.81609,-1.40424,"For a discount, call the hotel and mention you are an evacuee due to power outage or wildfire.",
"25135 Park Lantern / Dana Point, CA 92629",www.marriott.com/snadp,(949) 661-5000,41.137566,-112.07764,Please email frontdeskleaders@lagunacliffs.com for a discount.,
"2045 S Harbor Blvd, Anaheim CA 92802",https://www.marriott.com/en-us/hotels/laxad-courtyard-anaheim-resort-convention-center,(714) 740-2645,33.833336,-117.91319,$119 Rate plus tax. Please mention code WFI for the discount. Rooms are available starting 01/10/2025-01/20/2025.,
900 Via Piemonte Ontario Ca 91764,https://www.marriott.com/en-us/hotels/ontel-element-ontario/overview/,(909) 360-0010,42.605227,-83.898569,Please contact sales at leslie.stcyr@aimbridge.com for special rates.,
700 Queensway Drive Long Beach 90802,www.hotelmayalongbeach.com/special-offers,(800) 445-8667,-33.715496,116.215171,www.hotelmayalongbeach.com/special-offers Starting Sunday January 12,
"555 Universal Hollywood Drive, Universal City, California, 91608-1001",https://www.hilton.com/en/hotels/buruchf-hilton-los-angeles-universal-city/,(818) 506-2500,34.1375,-118.35606,"Reduced rates, please call.",
1177 South Beverly Dr,www.marriott.com/laxtw,(310) 228 4100,60.982944,25.658726,,
"6161 W Century Blvd Los Angeles, CA 90045",https://www.marriott.com/en-us/hotels/laxcy-courtyard-los-angeles-lax-century-boulevard/overview/,(310) 649-1400 ext 0,34.04805,-118.25419,,
"6151 Century Blvd Los Angeles, CA 90045",https://www.hilton.com/en/hotels/laxcaqq-h-hotel-los-angeles/,(310) 215-3000,33.892317,-118.365003,,
5525 Sepulveda Blvd,https://www.bestwestern.com/en_US/book/hotels-in-sherman-oaks/best-western-plus-carriage-inn/propertyCode.05595.html,(818) 787-2300,34.150925,-118.44871,https://www.bestwestern.com/en_US/book/hotels-in-sherman-oaks/best-western-plus-carriage-inn/propertyCode.05595.html,
5711 W. Century Blvd,https://www.hilton.com/en/hotels/laxahhh-hilton-los-angeles-airport/rooms/,(310) 410-4000,34.04805,-118.25419,,
"6225 W Century Blvd. Los Angeles, CA 90045",https://www.hyatt.com/hyatt-regency/en-US/laxla-hyatt-regency-los-angeles-international-airport,(402) 593-8800,34.04805,-118.25419,,
"120 S Los Angeles, CA",https://www.hilton.com/en/hotels/laxdtdt-doubletree-los-angeles-downtown/,(213) 629-1200,34.041607,-118.255,,
"137 E 1st Street, Azusa California 91702",,(626) 969-7957,47.218183,-1.551244,,
"666 E Foothill Blvd, Azusa CA 91702",,(626) 334-0251,47.218183,-1.551244,,
"3200 West Temple Avenue, Pomona, CA",https://www.wyndhamhotels.com/laquinta/pomona-california/la-quinta-pomona/overview,(909) 598-0073,33.677605,-116.30367,,
"4335 Rosemead Blvd., Pico Rivera, CA 90660",https://live.ipms247.com/booking/book-rooms-epichotel,(562) 842-3055,31.337402,-91.87151,"Once booked using the link, call hotel or goto hotel, you will be discounted at the time of check-in, your credit card will not be charged till you show up at Epic Hotel Pico Rivera. Ask for Jay. We have special discounts for Angelinos displaced by fire.",
"4325 Corporate Center Ave, Chino, CA 91710",Please contact Victor Lopez for reservations,(808) 359-4914,42.982517,-77.409546,,
"3990 Inland Empire Blvd, Ontario, CA 91764",Please contact Victor Lopez Email: vlopez@extendedstay.com OR Mobile: 808-359-4914,Victor Lopez - 808-359-4914,30.689753,-88.042145,Please contact Victor Lopez Email: vlopez@extendedstay.com OR Mobile: 808-359-4914,
"4105 E Willow St, Long Beach, CA 90815",Please contact Victor Lopez Email: vlopez@extendedstay.com OR Mobile: 808-359-4914,Victor Lopez - 808-359-4914,30.689753,-88.042145,Please contact Victor Lopez Email: vlopez@extendedstay.com OR Mobile: 808-359-4914,
"930 S Fifth Ave, Monrovia, CA 91016",Please contact Victor Lopez Email: vlopez@extendedstay.com OR Mobile: 808-359-4914,Victor Lopez - 808-359-4914,30.689753,-88.042145,Please contact Victor Lopez Email: vlopez@extendedstay.com OR Mobile: 808-359-4914,
"404 South Figueroa, Los Angeles CA 90071",https://www.marriott.com/en-us/hotels/laxbw-the-westin-bonaventure-hotel-and-suites-los-angeles/overview/,(213) 624-1000,34.04805,-118.25419,"Corporate code C7Z. 
 
 Direct booking link is https://www.marriott.com/event-reservations/reservation-link.mi?id=1736350533572&key=CORP&guestreslink2=true&app=resvlink",
"1755 N Highland Ave, Hollywood 90028",https://www.loewshotels.com/hollywood-hotel/specials/california-evacuation,(800) 235-6397,34.10161,-118.329544,https://www.loewshotels.com/hollywood-hotel/specials/california-evacuation,
"45400 Larkspur Lane, Palm Desert, CA 92260",www.marriott.com/ctdak,760-340-9001,-33.162713,-60.504672,Corporate code:     T4140,
1755 N Highland Ave; Hollywood CA 90028,https://www.loewshotels.com/hollywood-hotel,323-856-1200,44.840115,-0.570681,Just let the front desk know you are an evacuee,
"870 District Place, Chula Vista, CA 91914",,619-832-0902,47.218183,-1.551244,"25% off BAR; comp breakfast and parking; waived pet fees; please call desk and ask for ""EVACUEE RATE""",
"2101 Mandalay Beach Road, Oxnard,CA 93035",https://www.zacharidunes.com/reservations,805 984 2500 option 1,32.967293,-96.762474,,
"5711 W. Century Blvd. Los Angeles, CA 90045",https://www.hilton.com/en/hotels/laxahhh-hilton-los-angeles-airport/,310-410-4000,33.945045,-118.386079,"Please email us at LAXAH-Front_Office_Managers@hilton.com with the Subject: ""Fire Relief Stay Request""",
"5050 Skylab Rd Cir, Huntington Beach, CA 92647",Victor Lopez - Mobile 808-359-4914,Victor Lopez - Mobile 808-359-4914,30.715995,-88.203645,Please contact Victor Lopez Email: vlopez@extendedstay.com OR Mobile: 808-359-4914,
"1700 Orange Tree Ln, Redlands, CA 92374",Victor Lopez - Mobile 808-359-4914,Victor Lopez - Mobile 808-359-4914,30.715995,-88.203645,Please contact Victor Lopez - vlopez@extendedstay.com OR Mobile 808-359-4914,
"27622 Jefferson Avenue, Temecula, CA 92590",Victor Lopez - Mobile 808-359-4914,Victor Lopez - Mobile 808-359-4914,30.715995,-88.203645,Please contact Victor Lopez - Email: vlopez@extendedstay.com OR Mobile: 808-359-4914,
"1400 E Tahquitz Way, Palm Springs, CA 92262",Victor Lopez - Mobile 808-359-4914,Victor Lopez - Mobile 808-359-4914,30.715995,-88.203645,Please contact Victor Lopez - Email: vlopez@extendedstay.com OR Mobile: 808-359-4914,
"3265 Hamner Ave, Norco, CA 92860",Victor Lopez - Mobile 808-359-4914,Victor Lopez - Mobile 808-359-4914,30.715995,-88.203645,Please contact Victor Lopez - Email: vlopez@extendedstay.com OR Mobile: 808-359-4914,
"8401 Sunset Blvd, West Hollywood, CA 90069",https://www.hyatt.com/andaz/laxss-andaz-west-hollywood,(323) 656-1234,34.090767,-118.36669,,
"2200 Empire Ave, Burbank, CA 91504",https://www.extendedstayamerica.com/hotels/ca/los-angeles/burbank-airport,818-567-0952,34.19568,-118.348913,Contact AB Quintana by texting 980-345-1964 if you need more than 5 rooms. Recommend to book via link provided,
"1377 W. Glenoaks Blvd., Glendale, CA 91201",https://www.extendedstayamerica.com/hotels/ca/los-angeles/glendale,818-956-6665,34.092539,-118.258789,Contact AB Quintana if you need more than 5 rooms by texting 980-345-1964,
"1910 E. Mariposa Ave., El Segundo, CA 90245",https://www.extendedstayamerica.com/hotels/ca/los-angeles/lax-airport-el-segundo,310-607-4000,33.916441,-118.264145,Contact AB Quintana if you need more than 5 rooms by texting 980-345-1964,
"1755 North Highland Ave Hollywood, CA 90028",www.loewshotels.com/hollywood-hotel/specials/california-evacuation,Call 877-875-1604 or Text: 323-716-7716,34.10161,-118.329544,"Rate: $199.00+tax
Pet friendly, we are waiving pet accommodation fees
Waived destination fees as well
Complimentary wifi
",
"101 Wilshire Blvd, Santa Monica, CA, 90401",https://www.fairmont.com/santa-monica/,310-576-7777,34.016426,-118.49516,Mention evacuation rate,
"120 Colorado Ave, Santa Monica, CA 90401",https://www.thepiersidehotel.com/offers/stay-safe-la/,(310) 451 0676,31.472393,-92.49207,https://www.thepiersidehotel.com/offers/stay-safe-la/,
1515 Ocean Ave,Hotel Deals Santa Monica CA | Shore Hotel,310.656.4541,34.016426,-118.49516,Hotel Deals Santa Monica CA | Shore Hotel,
"1060 S Broadway, Los Angeles CA 90015",http://www.thehoxton.com/downtown-la,213-725-5900 x4,36.169212,-115.14062,"Use promo code: HERE2HELP for reduced price rooms though at least 1/16. We are dog friendly, and dogs always stay for free.",
3735 W. Imperial Hwy. Inglewood CA 90303,Please Contact Diamond Inn Suites & Spas (310)-674-1278,310-674-1278,37.99954,-87.555016,Call Hotel Directly at (310)-674-1278 mention : LA Fire Discounts,
"13407 Lakewood Blvd, Downey, CA 90242",Please Contact Property Directly,(562) -634 -7766,41.769398,-114.75331,Please call and mention : LA Fire,
"11163 South Prairie Ave, Inglewood CA 90303",Please Call Property Directly,(310) -412 -3888,53.742211,-0.348077,Mention : LA Fire,
"11711 S Western Ave, Los Angeles, CA 90047",Please Contact: 323-418-0888,323-418-0888,41.769398,-114.75331,Mention : LA Fire,
"530 Pico Blvd, Santa Monica CA 90405",https://www.hyatt.com/hyatt-centric/laxcm-hyatt-centric-delfina-santa-monica,877-504-5942,32.985611,-117.164235,877-504-5942,
"1055 Second Ave, San Diego, CA 92101",https://www.westgatehotel.com/accommodations/packages-specials/,(619) 238-1818,1.398681,34.45227,"California residents save 20% on best available rates, plus receive a $50 daily spending credit for parking, dining, spa treatments or other hotel amenities. Book using offer link and provide California ID upon check-in. Offer ends February 28, 2025. ",
"1819 Ocean Avenue, Santa Monica CA 90401",https://www.viceroyhotelsandresorts.com/santa-monica/accommodations,+1 888 392 0190,-18.917939,-48.250455,+1 888 392 0190,
"9350 Kearny Mesa Rd, San Diego, CA 92126",,916-803-1163,47.218183,-1.551244,Various of our hotels in San Diego have rooms open. Please contact Bob Patel at 916-803-1163 and mention LA Fires.,
"8555 Beverly Blvd, Los Angeles, CA 90048",,(310) 278-5444,47.218183,-1.551244,"Call and speak with front desk at (310) 278-5444. 

Email: Sofitel.LA.frontofficeleaders@sofitel.com",
2300 Colorado Blvd. Los Angeles CA 90041,https://www.thehillsinneaglerockla.com/wildfire-relief-hotel.html,323-256-1199,39.588963,-81.68846,Call the hotel at 323-256-1199 and request the Los Angeles Fire - Emergency Hotel Rate,
"600 Queensway Drive, Long Beach CA 90802",www.marriott.com/lgbri,1-562-495-0700,45.100784,-73.284403,www.marriott.com/lgbri,
"1402 W. Pacific Coast Hwy, Wilmington, CA 90744",https://www.bestwestern.com/en_US/book/wilmington/hotel-rooms/best-western-los-angeles-worldport-hotel/propertyCode.05581.html,310-834-3400,34.04805,-118.25419,310-834-3400,
2888 Pacific Coast Hwy,https://wyndhamhotels.com/hotel/00710,310-325-0660,47.507699,9.287281,310-325-0660,
"5265 West Sunset Bl LA, CA 90027",,323-466-8521,47.218183,-1.551244,323 466 8521 hotel phone number.,
1536 North Western Ave Los Angeles CA 90027,,323-467-3131,47.218183,-1.551244,Call hotel and mention you are fleeing fires 323 4673131,
"2860 East Colorado Blvd, Pasadena, CA, US",https://www.choicehotels.com/en-in/california/pasadena/rodeway-inn-hotels/ca343,(626) 792-3700,34.145775,-118.150475,VIK0602,
"1431 West Garvey Ave N, West Covina, California 91790",https://www.wyndhamhotels.com/travelodge/west-covina-california/travelodge-inn-and-suites-west-covina/overview,626-814-1940,34.06886,-117.93824,VIK0602,
"1904 W Olympic Blvd Los Angeles, CA 90006",https://www.choicehotels.com/en-in/california/los-angeles/rodeway-inn-hotels/cab11,213-380-9393,34.04805,-118.25419,VIK0602,
"2005 Centerpark Road, Chula Vista, CA 91915",,619-216-1000,47.218183,-1.551244,"$199 for Studio Suites with King or 2 Queens, $219 for One Bedroom Suites with King or 2 Queens, $450 for Two Bedroom Suite with 2 bath, 1 King and 1 Queen.
To book- call hotel directly at 619-216-1000 Option 0 and ask for a room under the LA Fires discount. Ensure you are not transferred to Central Reservations and only book directly with the Front Desk Agent at the hotel to ensure proper discount",
11254 Vanowen Street,Call 818-760-2735,818-760-2735,30.612492,-93.87731,818-760-2735,
"9040 West Sunset Boulevard, West Hollywood, CA 90069",https://www.editionhotels.com/weho/,424-310-1573,34.087097,-118.38089,424-310-1573,
465 S La Cienega Blvd Los Angeles CA 90048,https://www.marriott.com/en-us/hotels/laxls-sls-hotel-a-luxury-collection-hotel-beverly-hills,310-247-0400,34.06742,-118.40119,"slsbh.reservations@luxurycollection.com, 310-247-0400",
"8400 Sunset Blvd, Los Angeles, CA 90069",Best Westen Sunset Plaza Hotel,323-654-0750,30.411785,-92.065605,3236540750,
900 Bayfront Ct San Diego CA 92101,marriott.com/sandh,1-888-236-2427,-26.10743,28.052756,Use code A3P promo code to book on website. 10% off rates,
2000 2nd St Coronado CA 92118,marriott.com/sanci,619-435-3000,43.460893,-3.886757,,
"326 Broadway, San Diego CA 92101",marriott.com/sanlc,619-232-3121,25.027887,121.56894,,
"900 Bayfront Ct, San Diego CA 92101",marriott.com/sanrh,1-888-236-2427,25.14695,86.62743,,
"900 W Olympic Blvd, Los Angeles, CA 90015",https://www.marriott.com/en-us/hotels/laxjw-jw-marriott-los-angeles-la-live/overview/,213-765-8600,34.044517,-118.27044,,
"900 W Olympic Blvd, Los Angeles, CA 90015",https://www.ritzcarlton.com/en/hotels/laxlz-the-ritz-carlton-los-angeles/overview/,213-743-8800,34.04805,-118.25419,,
"44400 Indian Wells Lane, Indian Wells Ca 92210",https://www.marriott.com/en-us/hotels/pspsr-renaissance-esmeralda-resort-and-spa-indian-wells/overview/,1-760-773-4444,33.721542,-116.33882,"Request Promo code 5VD, rate is subject to availability. ",
"1260 S Figueroa St, Los Angeles, CA 90015",marriott.com/laxox,310-669-9252,48.68463,6.153952,I24 Pet fees waived,
"1260 South Figueroa Street, Los Angeles, California, 90015",marriott.com/laxav,213-385-2225,59.271922,18.133976,I24 Pet fees waived,
"68900 Frank Sinatra Drive, Rancho Mirage Ca 92270",https://www.ritzcarlton.com/en/hotels/pspps-the-ritz-carlton-rancho-mirage/overview/,760-321-8282,33.75767,-116.435486,,
"5400 W Century Blvd, Los Angeles, CA 90045",www.marriott.com/laxwi,310.216.5858,28.636433,77.27518,"www.marriott.com/laxwi / book ""Stay Longer Save More"" for discounted rate of 3+nights.",
"6979 Brenner Avenue, Buena Park, CA 90621",www.hilton.com/buenapark,(657) 252-5200,33.86994,-117.99591,"Book directly online, special rate for reservations of 3 nights or more.",
"111 East Ocean Boulevard, Long Beach, California, USA, 90802",https://www.marriott.com/offers/length-of-stay-offer-off-149637/lgbmc-marriott-long-beach-downtown,562-437-5900,33.767982,-118.19373,https://www.marriott.com/offers/length-of-stay-offer-off-149637/lgbmc-marriott-long-beach-downtown,
74855 Country Club Dr Palm Desert Ca 92260,https://www.marriott.com/en-us/hotels/ctdca-jw-marriott-desert-springs-resort-and-spa/overview/,760 341 2211,39.711254,-75.562874,"E-mail can be sent to JW, Palm Desert CA Guest Relations jw.ctdca.guestrelations@marriott.com Any calls can be directed to: 760-861-1160 or the main line of AYS, 760-341-2211, please note that our lines may be occupied due to volume, so e-mail is preferred so we can support promptly without delays.",
"555 Universal Hollywood Drive, Universal City, California, 91608-1001",https://www.hilton.com/en/hotels/buruchf-hilton-los-angeles-universal-city/,818-506-2500,34.1375,-118.35606,"reduced rates, call 818-506-2500",
"3531 Torrance Blvd, Torrance,CA ",https://stay.discovertorrance.com/emergency-housing,310-325-0660,6.918342,79.944863,,
"2448 Sepulveda Blvd, Torrance,CA ",https://stay.discovertorrance.com/emergency-housing,310-539-9888,6.918342,79.944863,,
"2633 Sepulveda Blvd, Torrance,CA ",https://stay.discovertorrance.com/emergency-housing,310-533-8000,6.918342,79.944863,,
"21333 Hawthorne Blvd, Torrance,CA ",https://stay.discovertorrance.com/emergency-housing,310-540-0500,6.918342,79.944863,,
"3995 W Carson St, Torrance,CA ",https://stay.discovertorrance.com/emergency-housing,310-543-0048,6.918342,79.944863,,
"3525 Torrance Blvd, Torrance,CA ",https://stay.discovertorrance.com/emergency-housing,310-540-5442,6.918342,79.944863,,
"3673 Torrance Blvd, Torrance,CA ",https://stay.discovertorrance.com/emergency-housing,310-316-5570,6.918342,79.944863,,
"4111 Pacific Coast Hwy, Torrance,CA ",https://stay.discovertorrance.com/emergency-housing,310-378-8511,6.918342,79.944863,,
"21381 S Western Ave, Torrance,CA ",https://stay.discovertorrance.com/emergency-housing,310-212-5111,6.918342,79.944863,,
"2888 Pacific Coast Hwy, Torrance,CA ",https://stay.discovertorrance.com/emergency-housing,310-997-0303,6.918342,79.944863,,
"20801 S Western Ave, Torrance,CA ",https://stay.discovertorrance.com/emergency-housing,310-212-5222,6.918342,79.944863,,
"3701 Torrance Blvd, Torrance,CA ",https://stay.discovertorrance.com/emergency-housing,310-543-4566,6.918342,79.944863,,
"19901 Prairie Ave, Torrance,CA ",https://stay.discovertorrance.com/emergency-housing,310-371-8525,6.918342,79.944863,,
"1925 W 190th St, Torrance,CA ",https://stay.discovertorrance.com/emergency-housing,310-532-1722,6.918342,79.944863,,
"3635 Fashion Way, Torrance,CA ",https://stay.discovertorrance.com/emergency-housing,310-316-3636,6.918342,79.944863,,
"5985 W Century Blvd, Los Angeles, CA 90045",https://www.sonesta.com/sonesta-hotels-resorts/ca/los-angeles/sonesta-los-angeles-airport-lax,310-642-7500,34.02331,-118.17105,"CA residents only. Rate code RESI. Lowest rates, waived pet fees and 50% off parking",
24971 Railroad Ave,Please Call Direct to Hotel at 1- 661 259 2800,1-661-259-2800,47.607798,14.300144,LAFIRE15,
"1905 S Azusa Avenue, Hacienda Heights, CA 91745",www.marriott.com/laxhh,626-965-1700,16.229432,43.285009,,
"4111 East Willow Street, Long Beach, CA 90815",www.marriott.com/LAXBH,562-595-0909,31.643246,74.83332,,
"4931 Katella Avenue, Los Alamitos, CA 90720",www.marriott.com/snaoc,714-484-5700,11.179386,104.946,,
"700 West Kimberly Avenue, Placentia, CA 92870",www.marriott.com/snapl,714-996-0555,52.169117,1.499696,,
"3002 South Harbor Blvd, Santa Ana, 92704",www.marriott.com/snasa,714-545-1001,64.24652,12.382351,,
"25 Windward Ave., Venice, CA 90291",https://samesun.com/venice-beach-hostel/,310-399-7649,33.985081,-118.462238,Best way to receive discount an book directly would be to call the front desk.,
"34862 Coast Hwy, Capistrano Beach, CA 92624",Please contact ccabrera@pmhotelgroup.com to make reservation,(949) 368-3222,39.856068,-4.023957,Please contact ccabrera@pmhotelgroup.com to make reservation,
"6417 Selma Ave, Hollywood, CA 90028, United States of America",https://www.hyatt.com/dream-hotels/en-US/laxdz-dream-hollywood,323 844 6417,29.539816,-81.650216,"https://www.hyatt.com/dream-hotels/en-US/laxdz-dream-hollywood Booking code: EMERG3 Above please find the rate plan and booking code for the relocation request : 20% off bar. Pet Friendly
",
9930 Slater Ave Fountain Valley,https://www.sonesta.com/sonesta-es-suites/ca/fountain-valley/sonesta-es-suites-huntington-beach-fountain-valley,714-965-8000,36.529744,-6.292898,Promo code FVGN 15% off booking,
9950 Slater Ave Fountain Valley,https://www.sonesta.com/sonesta-select/ca/fountain-valley/sonesta-select-huntington-beach-fountain-valley,714-968-5775,33.678825,-117.99892,Promo code FVGN 15% off booking. 25% off Commons Restaurant,
"28210 Jefferson Ave, Temecula, CA 92590",https://www.hilton.com/en/hotels/cldtmgi-hilton-garden-inn-temecula/,(951) 296-2288,52.860714,-1.387727,Contact hotel front desk,
"1700 N Sepulveda Blvd, Manhattan Beach, CA 90266",https://www.marriott.com/en-us/hotels/laxmh-residence-inn-los-angeles-lax-manhattan-beach/overview,(310) 421-3100,33.89146,-118.39595,Contact hotel front desk,
"7307 Artesia Blvd, Buena Park, CA 90621",https://www.hilton.com/en/hotels/lgbbuhx-hampton-suites-buena-park,714-716-1800,33.83317,-118.020131,Contact hotel front desk,
"4500 Mills Cir, Ontario, CA 91764",https://www.hilton.com/en/hotels/onthshx-hampton-suites-ontario,909-980-9888,43.971752,-78.74693,Contact hotel front desk,
"3481 Hamner Ave, Norco, CA 92860",https://www.hilton.com/en/hotels/ontnoru-tru-norco,951-621-3400,51.459397,-1.025218,Contact hotel front desk,
"5490 Hollister Ave, Santa Barbara, CA 93111",https://www.marriott.com/en-us/hotels/sbatx-the-steward-santa-barbara-a-tribute-portfolio-hotel/overview,805-683-6722,34.423347,-119.70343,Contact hotel front desk,
